Device name,Latest risk score,Operating system,IP address,Last user,Highly-exploitable CVEs,Discovered by,First seen,Last detected
LP-033-1,54.0,Windows 7 6.1 (Build 7601),10.1.33.1,033STSEBASTIENSLOIRE,0,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2021-11-04 08:41:45,2023-11-02 13:51:48
LP-016-003,54.0,Windows 7 6.1 (Build 7601),10.1.16.4,Système,0,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2021-11-10 03:26:28,2023-11-02 08:57:00
LP-004-2,44.0,Windows 7 6.1 (Build 7601),10.1.4.3,004,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2021-09-21 23:16:15,2023-10-31 18:16:00
LP-143-1,44.0,Windows 7 6.1 (Build 7601),10.1.143.2,143ORLEANS,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2021-09-21 22:06:07,2023-11-02 08:38:05
LP337-2,44.0,Windows 7 6.1 (Build 7601),10.2.37.2,337,0,Apex One as a Service,2021-09-23 22:08:01,2023-11-02 09:01:28
LAP-424-1,44.0,Windows 7 SP1 (64 bit) 6.1.7601,"169.254.228.223, 10.2.124.5, 169.254.65.24, 169.254.165.15, 169.254.22.241",424marais,0,Apex One as a Service,2021-09-21 23:16:04,2023-10-31 09:42:25
LP-319-1,44.0,Windows 7 6.1 (Build 7601),10.2.19.1,319,0,Apex One as a Service,2021-09-21 23:02:12,2023-11-01 23:38:49
LP-016-1,44.0,Windows 7 6.1 (Build 7601),10.1.16.1,016,0,Apex One as a Service,2021-09-21 23:23:00,2023-11-02 08:26:57
LP-026-1,44.0,Windows 7 6.1 (Build 7601),10.1.26.1,Système,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2021-09-21 23:19:47,2023-10-12 17:35:26
LP-230-3,44.0,Windows 7 6.1 (Build 7601),10.1.230.3,Système,0,Apex One as a Service,2021-09-25 19:02:30,2023-10-31 09:53:10
LP-339-2,44.0,Windows 7 6.1 (Build 7601),10.2.39.1,339,0,Apex One as a Service,2021-09-21 22:11:59,2023-11-02 08:53:30
LP-120,44.0,Windows 7 6.1 (Build 7601),10.1.120.3,Système,0,Apex One as a Service,2021-09-27 21:27:10,2023-10-31 16:14:55
LAP-063-2,44.0,Windows 7 6.1 (Build 7601),10.1.63.2,Système,0,Apex One as a Service,2021-09-25 16:29:30,2023-11-01 16:15:48
LAP-142-2,44.0,Windows 7 6.1 (Build 7601),10.1.142.7,Système,0,"Apex One as a Service, Trend Vision One Agent",2021-11-22 15:08:53,2023-10-31 17:25:47
LP-322-2,44.0,Windows 7 6.1 (Build 7601),10.2.22.1,322,0,Apex One as a Service,2021-09-21 23:05:44,2023-11-02 08:40:02
LP-153-01,44.0,Windows 7 6.1 (Build 7601),10.1.153.1,153,0,Apex One as a Service,2021-09-21 22:15:51,2023-11-02 08:23:02
LAP-322-3,44.0,Windows 7 6.1 (Build 7601),10.2.22.3,Système,0,Apex One as a Service,2021-09-22 18:23:52,2023-11-02 08:42:28
LP-337-3,44.0,Windows 7 6.1 (Build 7601),10.2.37.1,337,0,Apex One as a Service,2021-09-27 22:15:40,2023-11-02 08:52:34
LP-326-1,44.0,Windows 7 6.1 (Build 7601),10.2.26.1,326,0,Apex One as a Service,2021-09-22 00:11:02,2023-11-02 08:56:42
LAP-401-7,44.0,Windows 7 6.1 (Build 7601),10.2.101.13,401,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2021-09-22 19:43:15,2023-10-31 12:58:30
LAP-029-3,44.0,Windows 7 6.1 (Build 7601),10.1.29.7,029,0,Apex One as a Service,2021-09-21 22:03:39,2023-10-31 15:56:36
LAP-155-02,44.0,Windows 7 6.1 (Build 7601),10.1.155.3,155,0,"Apex One as a Service, Trend Vision One Agent",2022-09-09 14:32:57,2023-11-02 09:01:29
LAP-222-2,39.0,Windows 7 6.1 (Build 7601),10.1.74.3,Système,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2021-09-22 16:25:59,2023-10-31 16:22:31
LP-042-2,39.0,Windows 7 6.1 (Build 7601),10.1.42.3,042,0,Apex One as a Service,2021-09-21 23:38:06,2023-11-01 23:38:20
LP-228-3,39.0,Windows 7 6.1 (Build 7601),10.1.228.1,228parly2,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2021-09-27 21:47:21,2023-11-01 23:38:20
LP-331-2,38.0,Windows 7 6.1 (Build 7601),10.2.31.1,Système,0,Apex One as a Service,2021-09-21 12:17:08,2023-10-28 00:22:01
LAP-081-1,38.0,Windows 7 6.1 (Build 7601),10.1.81.3,081,0,Apex One as a Service,2021-09-21 22:25:15,2023-11-02 07:58:31
LP-026-3,38.0,Windows 7 6.1 (Build 7601),10.1.26.3,Système,0,Apex One as a Service,2021-11-06 09:21:29,2023-11-02 08:40:02
LP-007-1,38.0,Windows 7 6.1 (Build 7601),10.1.7.2,007,0,Apex One as a Service,2021-09-21 22:05:11,2023-11-02 08:01:01
LP-081-1,38.0,Windows 7 6.1 (Build 7601),10.1.81.1,081,0,Apex One as a Service,2021-09-21 22:15:34,2023-11-02 07:59:08
LAP-228-2,38.0,Windows 7 SP1 (64 bit) 6.1.7601,"169.254.33.10, 10.1.228.4, 169.254.7.41, 10.1.228.2, 169.254.200.81",Système,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2021-09-22 05:22:41,2023-10-31 09:41:47
LP-424-3,35.0,Windows 7 6.1 (Build 7601),10.2.124.3,424marais,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2021-09-21 23:50:51,2023-11-01 23:39:51
LP-051-1,35.0,Windows 7 6.1 (Build 7601),169.254.0.113,051,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2021-09-21 22:55:02,2023-10-31 15:03:17
LP401-ATELIER-2,0.0,Windows 7 6.1 (Build 7601),10.2.101.6,Système,0,Apex One as a Service,2023-10-10 10:58:33,2023-10-11 01:29:08
LAP-306-3,0.0,Windows 7 6.1 (Build 7601),10.2.6.4,,0,Apex One as a Service,2023-05-20 00:26:40,2023-07-07 02:17:39
LAP-DG,0.0,Windows 7 6.1 (Build 7601),192.168.1.21,,0,Apex One as a Service,2022-12-21 13:34:33,2023-09-23 17:35:51
