Nom,Entité,Modèle,Numéro de série
LP-156-4 sur le 001,Parc LP > LP MAG,OptiPlex 5270 AIO,61BYN42
LP-194-3,Parc LP > LP MAG,OptiPlex 3280 AIO,9DL9YJ3
LP-195-3,Parc LP > LP MAG,OptiPlex 5270 AIO,5YCYN42
LP-196-4,Parc LP > LP MAG,OptiPlex 5270 AIO,54LZPZ2
LP-196-5,Parc LP > LP MAG,Latitude 5400,1CDR1Z2
LP-227-3,Parc LP > LP MAG,OptiPlex 3280 AIO,65DSJB3
LP-235-4,Parc LP > LP MAG,OptiPlex 5270 AIO,3B54P42
LP-235-5,Parc LP > LP MAG,OptiPlex 5270 AIO,BLBYN42
LP-303-6,Parc LP > LP MAG,OptiPlex 3280 AIO,9CMRF92
LP-303-N,Parc LP,X83i3,CNFXNL361375
LP-306-3,Parc LP > LP MAG,OptiPlex 5270 AIO,8DZFJ23
LP-307-02,Parc LP > LP MAG,OptiPlex 5270 AIO,8W9YN42
LP-307-3,Parc LP > LP MAG,OptiPlex 5270 AIO,58BYN42
LP-316-2,Parc LP > LP MAG,OptiPlex 5270 AIO,8GBYN42
LP-316-3,Parc LP > LP MAG,OptiPlex 5270 AIO,1NCYN42
LP-316-4,Parc LP > LP MAG,OptiPlex 5270 AIO,H7BYN42
LP-323-01,Parc LP > LP MAG,OptiPlex 5270 AIO,6B54P42
LP-326-1,Parc LP > LP MAG,OptiPlex 9020,7MR1H32
LP-334-2,Parc LP > LP MAG,OptiPlex 5270 AIO,2FZFJ23
LP-336-2,Parc LP > LP MAG,OptiPlex 3280 AIO,5DL9YJ3
LP-337-3,Parc LP > LP MAG,OptiPlex 9020,GSBN992
LP-347-2,Parc LP > LP MAG,OptiPlex 5270 AIO,84LZPZ2
LP-349-2,Parc LP > LP MAG,OptiPlex 5270 AIO,F23RK42
LP-350-01,Parc LP > LP MAG,OptiPlex 5270 AIO,B6LZPZ2
LP-401-7,Parc LP > LP MAG,OptiPlex 3280 AIO,7DL9YJ3
LP-406-2,Parc LP > LP MAG,OptiPlex 3050 AIO,HJQ6WS2
LP-406-7,Parc LP > LP MAG,OptiPlex 3280 AIO,8JMRF92
LP-412-3,Parc LP > LP MAG,OptiPlex 3050 AIO,BXBT4W2
LP-412-4,Parc LP > LP MAG,OptiPlex 3050 AIO,BQY6XP2
LP-414-3,Parc LP > LP MAG,OptiPlex 5270 AIO,843RK42
LP-418-4,Parc LP > LP MAG,OptiPlex 5270 AIO,51ZFJ23
LP-421-13,Parc LP > LP MAG,OptiPlex 5270 AIO,923RK42
LP-421-15,Parc LP > LP MAG,OptiPlex 5270 AIO,F0PQN42
LP-421-16,Parc LP > LP MAG,OptiPlex 5270 AIO,G23RK42
LP-424-3,Parc LP > LP MAG,OptiPlex 3050 AIO,43558P2
LP-429-1,Parc LP > LP MAG,OptiPlex 3280 AIO,95DSJB3
LP-454-2,Parc LP > LP MAG,OptiPlex 3050 AIO,FYM6WS2
LP-COMPTA-018,Parc LP,ThinkPad T490s,PC1ERF2B
LP-HORLOGER-401,Parc LP > LP MAG,OptiPlex 5490 AIO,G5HF6R3
LP401-ATELIER-2,Parc LP > LP MAG,OptiPlex 3050 AIO,434C8P2
PC-Marianne,Parc LP,Latitude 7420,9P8V4M3
srv-domaine2,Parc LP,"VMware7,1",VMware-42 14 72 fa 09 0b 34 6d-b4 66 bd 1a b0 21 17 ed
SUR-408-001,Parc LP,Surface Pro 9,0F374JQ23523BF
SUR-408-002,Parc LP,Surface Pro 9,0F374QQ23523BF
SUR-408-003,Parc LP,Surface Pro 9,0F37QJP23523BF
svi-12r2-bi-app,Parc LP,VMware Virtual Platform,VMware-56 4d 49 28 72 21 ec a1-08 a4 2e 07 af 62 2f e7
svi-12r2-dwh,Parc LP,VMware Virtual Platform,VMware-56 4d 51 1b 9d 25 8b cb-66 de af 4a 0d 31 7f 1f
svi-12r2-gcds,Parc LP,VMware Virtual Platform,VMware-42 3c 92 bf ac 65 64 0f-f9 0a ef 35 00 e6 02 aa
svi-12r2-iis,Parc LP,VMware Virtual Platform,VMware-56 4d 59 59 ff 55 4b 3c-41 33 70 f5 9f d2 d6 27
svi-12r2-tech,Parc LP,VMware Virtual Platform,VMware-42 3c 9f 06 58 b1 6f a0-6c 2e 15 2e e4 02 33 64
svi-19-impr,Parc LP,"VMware7,1",VMware-42 14 41 c0 48 9c 21 b3-2f 89 b0 02 a5 2f 1b d9
svi-19dc-talend,Parc LP,"VMware7,1",VMware-42 14 c2 4e ef d8 69 bd-01 06 21 5d 55 38 0c 9f
svi19-wsus-dc,Parc LP,"VMware7,1",VMware-42 14 fb 3a ab 22 aa 2e-92 a8 24 63 f2 82 22 fe
TAB-408-001,Parc LP,Surface Go 3,0B33M3H231833F
TAB-428-001,Parc LP,Surface Go 3,0B33KPR231833F
TAB-438-001,Parc LP,Surface Go 3,0B33KRB231833F
TPV-002-001,Parc LP > LP MAG,X83i3,CNFXNM040024
TPV-003-001,Parc LP > LP MAG,X83i3,CNFXNL380526
TPV-003-2,Parc LP > LP MAG,X83i3,CNFXNL380459
TPV-004-002,Parc LP > LP MAG,X83i3,CNFXNM040035
TPV-004-004,Parc LP > LP MAG,X83i3,CNFXNL361523
TPV-005-002,Parc LP,X83i3,CNFXNM040054
TPV-007-001,Parc LP,X83i3,CNFXNM320065
TPV-009-1,Parc LP > LP MAG,X83i3,CNFXNL380511
TPV-010-001,Parc LP,X83i3,CNFXNM320049
TPV-012-001,Parc LP > LP MAG,X83i3,CNFXNL380744
TPV-016-001,Parc LP,X83i3,CNFXNM320258
TPV-017-001,Parc LP > LP MAG,X83i3,CNFXNM040034
TPV-017-002,Parc LP > LP MAG,X83i3,CNFXNM040072
TPV-019-001,Parc LP > LP MAG,X83i3,CNFXNL380590
TPV-020-001,Parc LP,X83i3,CNFXNM320200
TPV-021-001,Parc LP > LP MAG,X83i3,CNFXNL361385
TPV-024-001,Parc LP > LP MAG,X83i3,CNFXNL380449
TPV-026-003,Parc LP,X83i3,CNFXNM320054
TPV-027-003,Parc LP > LP MAG,X83i3,CNFXNM040033
TPV-028-1,Parc LP > LP MAG,X83i3,CNFXNL380721
TPV-028-2,Parc LP > LP MAG,X83i3,CNFXNL380758
TPV-029-001,Parc LP > LP MAG,X83i3,CNFXNM320150
TPV-030-001,Parc LP,JAZZ,QCQWB60227002W
TPV-031-001,Parc LP > LP MAG,X83i3,CNFXNL380580
TPV-033-001,Parc LP,X83i3,CNFXNM320266
TPV-038-001,Parc LP > LP MAG,X83i3,CNFXNM040078
TPV-049-001,Parc LP,X83i3,CNFXNM320042
TPV-055-001,Parc LP > LP MAG,X83i3,CNFXNM040021
TPV-062-001,Parc LP,X83i3,CNFXNM320141
TPV-062-002,Parc LP,X83i3,CNFXNM320143
TPV-063-001,Parc LP > LP MAG,X83i3,CNFXNL380759
TPV-064-001,Parc LP > LP MAG,X83i3,CNFXNL380690
TPV-064-002,Parc LP > LP MAG,X83i3,CNFXNL361371
TPV-066-001,Parc LP > LP MAG,X83i3,CNFXNL361440
TPV-067-001,Parc LP > LP MAG,X83i3,CNFXNL361451
TPV-067-002,Parc LP,X83i3,CNFXNM320113
TPV-072-001,Parc LP > LP MAG,X83i3,CNFXNM040086
TPV-072-003,Parc LP,YUNO-II,I12G000200022
TPV-073-001,Parc LP > LP MAG,X83i3,CNFXNM040088
TPV-074-001,Parc LP > LP MAG,X83i3,CNFXNL380875
TPV-080-001,Parc LP > LP MAG,X83i3,CNFXNL361412
TPV-081-001,Parc LP,X83i3,CNFXNM320030
TPV-106-001,Parc LP,X83i3,CNFXNM320157
TPV-106-003,Parc LP > LP MAG,X83i3,CNFXNL380629
TPV-116-001,Parc LP > LP MAG,X83i3,CNFXNL380451
TPV-122-001,Parc LP > LP MAG,X83i3,CNFXNL380781
TPV-127-1,Parc LP > LP MAG,X83i3,CNFXNL380601
TPV-136-002,Parc LP > LP MAG,X83i3,CNFXNL361517
TPV-139-001,Parc LP > LP MAG,X83i3,CNFXNL380582
TPV-139-002,Parc LP,X83i3,CNFXNM320199
TPV-141-002,Parc LP,X83i3,CNFXNM320255
TPV-142-001,Parc LP > LP MAG,X83i3,CNFXNL380743
TPV-142-002,Parc LP > LP MAG,X83i3,CNFXNL380748
TPV-143-001,Parc LP,X83i3,CNFXNM320197
TPV-143-002,Parc LP,YUNO-II,7615447100926
TPV-145-002,Parc LP,X83i3,CNFXNM320262
TPV-149-001,Parc LP > LP MAG,X83i3,CNFXNL361407
TPV-149-002,Parc LP > LP MAG,X83i3,CNFXNL380764
TPV-155-001,Parc LP > LP MAG,X83i3,CNFXNL380673
TPV-191-001,Parc LP > LP MAG,X83i3,CNFXNL361431
TPV-191-002,Parc LP,X83i3,CNFXNM320126
TPV-193-001,Parc LP > LP MAG,X83i3,CNFXNM320046
TPV-195-002,Parc LP,X83i3,CNFXNM320019
TPV-196-3,Parc LP,X83i3,CNFXNM040098
TPV-200-001,Parc LP > LP MAG,X83i3,CNFXNM040066
TPV-200-002,Parc LP > LP MAG,X83i3,CNFXNM040095
TPV-206-001,Parc LP > LP MAG,X83i3,CNFXNL380841
TPV-215-001,Parc LP > LP MAG,X83i3,CNFXNL361413
TPV-215-002,Parc LP,X83i3,CNFXNL310380
TPV-221-001,Parc LP > LP MAG,X83i3,CNFXNL380768
TPV-224-1,Parc LP > LP MAG,X83i3,CNFXNL361480
TPV-226-001,Parc LP > LP MAG,X83i3,CNFXNL380625
TPV-228-001,Parc LP,X83i3,CNFXNM320145
TPV-230-001,Parc LP > LP MAG,X83i3,CNFXNM040020
TPV-230-002,Parc LP,X83i3,CNFXNM320039
TPV-234-001,Parc LP > LP MAG,X83i3,CNFXNK430037
TPV-303-001,Parc LP > LP MAG,X83i3,CNFXNM320194
TPV-304-001,Parc LP,X83i3,CNFXNM320253
TPV-305-001,Parc LP > LP MAG,X83i3,CNFXNL361396
TPV-306-001,Parc LP > LP MAG,X83i3,CNFXNL361453
TPV-309-001,Parc LP > LP MAG,X83i3,CNFXNL380581
TPV-311-001,Parc LP,X83i3,CNFXNM320092
TPV-312-002,Parc LP,X83i3,CNFXNM320132
TPV-314-001,Parc LP > LP MAG,X83i3,CNFXNM040077
TPV-315-001,Parc LP > LP MAG,X83i3,CNFXNL380643
TPV-317-001,Parc LP,X83i3,CNFXNM320123
TPV-318-001,Parc LP > LP MAG,X83i3,CNFXNL380505
TPV-319-001,Parc LP,X83i3,CNFXNM320081
TPV-320-001,Parc LP,JAZZ,QCQWB602270054
TPV-321-001,Parc LP > LP MAG,X83i3,CNFXNM040096
TPV-326-001,Parc LP,X83i3,CNFXNM320137
TPV-327-001,Parc LP > LP MAG,X83i3,CNFXNM040047
TPV-328-001,Parc LP > LP MAG,SANGO,W104300023
TPV-329-002,Parc LP,X83i3,CNFXNM320174
TPV-330-001,Parc LP > LP MAG,SANGO,W104300030
TPV-331-001,Parc LP,X83i3,CNFXNM320108
TPV-332-001,Parc LP,X83i3,CNFXNM320184
TPV-335-001,Parc LP > LP MAG,X83i3,CNFXNM040019
TPV-341-001,Parc LP,X83i3,CNFXNM320189
TPV-345-001,Parc LP > LP MAG,X83i3,TWERDI340009
TPV-346-001,Parc LP,X83i3,CNFXNM320151
TPV-348-001,Parc LP > LP MAG,X83i3,CNFXNL380831
TPV-348-002,Parc LP > LP MAG,X83i3,CNFXNL380691
TPV-349-002,Parc LP,X83i3,CNFXNM320242
TPV-401-001,Parc LP > LP MAG,X83i3,CNFXNL361455
TPV-402-001,Parc LP,YUNO-II,I12G000200040
TPV-403-001,Parc LP > LP MAG,X83i3,CNFXNL380788
TPV-404-001,Parc LP,X83i3,CNFXNM320147
TPV-406-001,Parc LP,YUNO-II,7543804600066
TPV-406-002,Parc LP,YUNO-II,7543804600095
TPV-408-001,Parc LP,X83i3,CNFXNM320020
TPV-408-002,Parc LP > LP MAG,X83i3,CNFXNL380860
TPV-412-002,Parc LP,YUNO-II,7615447100199
TPV-414-001,Parc LP > LP MAG,SANGO,W104300029
TPV-414-002,Parc LP > LP MAG,SANGO,W104300002
TPV-422-001,Parc LP,X83i3,CNFXNM320198
TPV-422-002,Parc LP,X83i3,CNFXNM320188
TPV-424-002,Parc LP,X83i3,CNFXNM320127
TPV-424-003,Parc LP > LP MAG,X83i3,CNFXNL380682
TPV-424-004,Parc LP,YUNO-II,I12G000200020
TPV-428-002,Parc LP,X83i3,CNFXNM320178
TPV-438-001,Parc LP,X83i3,CNFXNM320106
TPV-438-002,Parc LP,X83i3,CNFXNM320110
TPV-454-001,Parc LP > LP MAG,X83i3,CNFXNM040093
TPV-501-001,Parc LP,X83i3,CNFXNM040042
TPV-502-001,Parc LP,X83i3,CNFXNM320139
TPV-502-002,Parc LP,X83i3,CNFXNM320131
TPV-503-001,Parc LP,X83i3,CNFXNM320278
TPV-504-001,Parc LP,X83i3,CNFXNM320085
TPV-505-001,Parc LP,X83i3,CNFXNM320133
TPV-506-001,Parc LP,X83i3,CNFXNM320104
TPV-507-001,Parc LP,X83i3,CNFXNM320245
TPV-508-001,Parc LP,X83i3,CNFXNM320293
TPV-509-001,Parc LP,X83i3,CNFXNM320208
TPV-510-001,Parc LP,X83i3,CNFXNM320068
TPV-511-001,Parc LP,X83i3,CNFXNM320177
TPV-512-001,Parc LP,X83i3,CNFXNM320149
TPV-513-001,Parc LP,X83i3,CNFXNM320286
TPV-514-001,Parc LP,X83i3,CNFXNM320014
TPV-515-001,Parc LP,X83i3,CNFXNM320209
TPV-516-001,Parc LP,X83i3,CNFXNM320225
TPV-517-001,Parc LP,X83i3,CNFXNM320244
TPV-518-001,Parc LP,YUNO,Default string
TPV-519-001,Parc LP,YUNO-II,7615447100195
TPV-520-001,Parc LP,YUNO-II,7615447100259
TPV-521-001,Parc LP,YUNO-II,7615447100291
TPV-522-002,Parc LP,YUNO-II,I12G000200048
TPV-523-001,Parc LP,YUNO-II,I12G000200044
TPV-524-001,Parc LP,YUNO-II,7615447100017
TPV-525-001,Parc LP,YUNO-II,7615447100148
TPV-526-001,Parc LP,YUNO-II,7615447100254
TPV-527-001,Parc LP,YUNO-II,7615447100014
TPV-528-001,Parc LP,YUNO-II,I12G000200045
TPV-529-001,Parc LP,YUNO-II,7615447100162
TPV-530-001,Parc LP,YUNO-II,7543804600434
TPV-531-001,Parc LP,YUNO-II,J02A000200086
TPV-532-001,Parc LP,YUNO-II,I12A000200072
TPV-533-001,Parc LP,YUNO-II,J01A000200013
TPV-534-001,Parc LP,YUNO-II,J01A000200526
TPV-535-001,Parc LP,YUNO-II,J01A000200037
TPV-536-001,Parc LP,YUNO-II,J01G000200137
TPV-537-001,Parc LP,YUNO-II,J01A000200297
TPV-538-001,Parc LP,YUNO-II,I12A000200119
TPV-538-002,Parc LP,YUNO-II,J02A000200088
TPV-539-001,Parc LP,YUNO-II,I12G000200051
TPV-540-001,Parc LP,YUNO-II,J02A000200125
TPV-541-001,Parc LP,YUNO-II,J01A000200048
TPV-542-001,Parc LP,YUNO-II,J02A000200084
TPV-543-001,Parc LP,YUNO-II,J01A000200336
TPV-544-001,Parc LP,YUNO-II,J02A000200054
TPV-545-001,Parc LP,YUNO-II,J01A000200097
TPV-546-001,Parc LP,YUNO-II,J01A000200095
TPV-547-001,Parc LP,YUNO-II,J02A000200121
TPV-548-001,Parc LP,YUNO-II,J01A000200517
TPV-549-002,Parc LP,YUNO-II,J02A000200082
TPV-550-001,Parc LP,YUNO-II,J01G000200100
TPV-XXX-00Xi,Parc LP,X83i3,CNFXNM320114
